Code,Name,Market,Type
2636,台驊控股,TWSE,Stock
2637,慧洋-KY,TWSE,Stock
2642,宅配通,TWSE,Stock
2645,長榮航太,TWSE,Stock
2646,星宇航空,TWSE,Stock
2701,萬企,TWSE,Stock
2702,華園,TWSE,Stock
2704,國賓,TWSE,Stock
2705,六福,TWSE,Stock
2706,第一店,TWSE,Stock
2707,晶華,TWSE,Stock
2712,遠雄來,TWSE,Stock
2722,夏都,TWSE,Stock
2723,美食-KY,TWSE,Stock
2727,王品,TWSE,Stock
2731,雄獅,TWSE,Stock
2739,寒舍,TWSE,Stock
2748,雲品,TWSE,Stock
2753,八方雲集,TWSE,Stock
2762,世界健身-KY,TWSE,Stock
2801,彰銀,TWSE,Stock
2812,台中銀,TWSE,Stock
2816,旺旺保,TWSE,Stock
2820,華票,TWSE,Stock
2832,台產,TWSE,Stock
2834,臺企銀,TWSE,Stock
2836,高雄銀,TWSE,Stock
2836A,高雄銀甲特,TWSE,ETF
2838,聯邦銀,TWSE,Stock
2838A,聯邦銀甲特,TWSE,ETF
2845,遠東銀,TWSE,Stock
2849,安泰銀,TWSE,Stock
2850,新產,TWSE,Stock
2851,中再保,TWSE,Stock
2852,第一保,TWSE,Stock
2855,統一證,TWSE,Stock
2867,三商壽,TWSE,Stock
2880,華南金,TWSE,Stock
2881,富邦金,TWSE,Stock
2881A,富邦特,TWSE,ETF
2881B,富邦金乙特,TWSE,ETF
2881C,富邦金丙特,TWSE,ETF
2882,國泰金,TWSE,Stock
2882A,國泰特,TWSE,ETF
2882B,國泰金乙特,TWSE,ETF
2883,凱基金,TWSE,Stock
2883B,凱基金乙特,TWSE,ETF
2884,玉山金,TWSE,Stock
2885,元大金,TWSE,Stock
2886,兆豐金,TWSE,Stock
2887,台新新光金,TWSE,Stock
2887E,台新新光戊特一,TWSE,ETF
2887F,台新新光戊特二,TWSE,ETF
2887G,台新新光庚特一,TWSE,ETF
2887H,台新新光庚特二,TWSE,ETF
